yearID,teamID,name,W,payroll
2011,LAA,Los Angeles Angels of Anaheim,86,138543166
2011,LAN,Los Angeles Dodgers,82,104188999
2011,MIL,Milwaukee Brewers,96,85497333
2011,MIN,Minnesota Twins,63,112737000
2011,NYA,New York Yankees,97,202275028
2011,NYN,New York Mets,77,118847309
2011,OAK,Oakland Athletics,74,66536500
2011,PHI,Philadelphia Phillies,102,172976379
2011,PIT,Pittsburgh Pirates,72,45047000
2011,SDN,San Diego Padres,71,45869140
2011,SEA,Seattle Mariners,67,86110600
2011,SFN,San Francisco Giants,86,118198333
2011,SLN,St. Louis Cardinals,90,105433572
2011,TBA,Tampa Bay Rays,91,41053571
2011,TEX,Texas Rangers,96,92299264
2011,TOR,Toronto Blue Jays,81,62567800
2011,WAS,Washington Nationals,80,63856928
2012,ARI,Arizona Diamondbacks,81,73804833
2012,ATL,Atlanta Braves,94,82829942
2012,BAL,Baltimore Orioles,93,77353999
2012,BOS,Boston Red Sox,69,173186617
2012,CHA,Chicago White Sox,85,96919500
2012,CHN,Chicago Cubs,61,88197033
2012,CIN,Cincinnati Reds,97,82203616
2012,CLE,Cleveland Indians,68,78430300
2012,COL,Colorado Rockies,64,78069571
2012,DET,Detroit Tigers,88,132300000
2012,HOU,Houston Astros,55,60651000
2012,KCA,Kansas City Royals,72,60916225
2012,LAA,Los Angeles Angels of Anaheim,89,154485166
2012,LAN,Los Angeles Dodgers,86,95143575
2012,MIA,Miami Marlins,69,118078000
2012,MIL,Milwaukee Brewers,83,97653944
2012,MIN,Minnesota Twins,66,94085000
2012,NYA,New York Yankees,95,196522289
2012,NYN,New York Mets,74,93353983
2012,OAK,Oakland Athletics,94,55372500
2012,PHI,Philadelphia Phillies,81,174538938
2012,PIT,Pittsburgh Pirates,79,62951999
2012,SDN,San Diego Padres,76,55244700
2012,SEA,Seattle Mariners,75,81978100
2012,SFN,San Francisco Giants,94,117620683
2012,SLN,St. Louis Cardinals,88,110300862
2012,TBA,Tampa Bay Rays,90,64173500
2012,TEX,Texas Rangers,93,120510974
2012,TOR,Toronto Blue Jays,73,75009200
2012,WAS,Washington Nationals,98,80855143
2013,ARI,Arizona Diamondbacks,81,90132000
2013,ATL,Atlanta Braves,96,87871525
2013,BAL,Baltimore Orioles,85,84393333
2013,BOS,Boston Red Sox,97,151530000
2013,CHA,Chicago White Sox,63,120065277
2013,CHN,Chicago Cubs,66,100567726
2013,CIN,Cincinnati Reds,90,106404462
2013,CLE,Cleveland Indians,92,75771800
2013,COL,Colorado Rockies,74,74409071
2013,DET,Detroit Tigers,93,145989500
2013,HOU,Houston Astros,51,17890700
2013,KCA,Kansas City Royals,86,80091725
2013,LAA,Los Angeles Angels of Anaheim,78,124174750
2013,LAN,Los Angeles Dodgers,92,223362196
2013,MIA,Miami Marlins,62,33601900
2013,MIL,Milwaukee Brewers,74,76947033
2013,MIN,Minnesota Twins,66,75337500
2013,NYA,New York Yankees,85,231978886
2013,NYN,New York Mets,74,49448346
2013,OAK,Oakland Athletics,96,60132500
2013,PHI,Philadelphia Phillies,73,169863189
2013,PIT,Pittsburgh Pirates,94,77062000
2013,SDN,San Diego Padres,76,65585500
2013,SEA,Seattle Mariners,71,74005043
2013,SFN,San Francisco Giants,76,140180334
2013,SLN,St. Louis Cardinals,97,92260110
2013,TBA,Tampa Bay Rays,92,52955272
2013,TEX,Texas Rangers,91,112522600
2013,TOR,Toronto Blue Jays,74,126288100
2013,WAS,Washington Nationals,86,113703270
2014,ARI,Arizona Diamondbacks,64,97861500
2014,ATL,Atlanta Braves,79,97609000
2014,BAL,Baltimore Orioles,96,103416000
2014,BOS,Boston Red Sox,71,139019929
2014,CHA,Chicago White Sox,73,81830500
2014,CHN,Chicago Cubs,73,65522500
2014,CIN,Cincinnati Reds,76,108217500
2014,CLE,Cleveland Indians,85,82151899
2014,COL,Colorado Rockies,66,95403500
2014,DET,Detroit Tigers,90,152855500
2014,HOU,Houston Astros,70,35116300
2014,KCA,Kansas City Royals,89,74594075
2014,LAA,Los Angeles Angels of Anaheim,98,121988250
2014,LAN,Los Angeles Dodgers,94,217014600
2014,MIA,Miami Marlins,77,41836900
2014,MIL,Milwaukee Brewers,82,101217000
2014,MIN,Minnesota Twins,70,83762500
2014,NYA,New York Yankees,84,197543907
2014,NYN,New York Mets,79,85556990
2014,OAK,Oakland Athletics,88,72408400
2014,PHI,Philadelphia Phillies,73,180944967
2014,PIT,Pittsburgh Pirates,88,77178000
2014,SDN,San Diego Padres,77,75685700
2014,SEA,Seattle Mariners,87,92531100
2014,SFN,San Francisco Giants,88,163510167
2014,SLN,St. Louis Cardinals,90,120693000
2014,TBA,Tampa Bay Rays,77,72689100
2014,TEX,Texas Rangers,67,112255059
2014,TOR,Toronto Blue Jays,83,109920100
2014,WAS,Washington Nationals,96,131983680
2015,ARI,Arizona Diamondbacks,79,61834000
2015,ATL,Atlanta Braves,67,71781250
2015,BAL,Baltimore Orioles,81,115044833
2015,BOS,Boston Red Sox,78,181103400
2015,CHA,Chicago White Sox,76,112373700
2015,CHN,Chicago Cubs,97,115879310
2015,CIN,Cincinnati Reds,64,113072286
2015,CLE,Cleveland Indians,81,87663766
2015,COL,Colorado Rockies,68,95688600
2015,DET,Detroit Tigers,74,172284750
2015,HOU,Houston Astros,86,72256200
2015,KCA,Kansas City Royals,95,112107025
2015,LAA,Los Angeles Angels of Anaheim,85,120005415
2015,LAN,Los Angeles Dodgers,92,215792000
2015,MIA,Miami Marlins,71,68056500
2015,MIL,Milwaukee Brewers,68,100850000
2015,MIN,Minnesota Twins,83,107755000
2015,NYA,New York Yankees,87,212751957
2015,NYN,New York Mets,90,96766683
2015,OAK,Oakland Athletics,68,79053501
2015,PHI,Philadelphia Phillies,63,111693000
2015,PIT,Pittsburgh Pirates,98,88892499
2015,SDN,San Diego Padres,74,118441300
2015,SEA,Seattle Mariners,76,122208700
2015,SFN,San Francisco Giants,84,164701500
2015,SLN,St. Louis Cardinals,100,119241500
2015,TBA,Tampa Bay Rays,80,64521233
2015,TEX,Texas Rangers,88,143742789
2015,TOR,Toronto Blue Jays,93,112992400
2015,WAS,Washington Nationals,83,155587472
2016,ARI,Arizona Diamondbacks,69,87439063
2016,ATL,Atlanta Braves,68,68498291
2016,BAL,Baltimore Orioles,89,161863456
2016,BOS,Boston Red Sox,93,188545761
2016,CHA,Chicago White Sox,78,112998667
2016,CHN,Chicago Cubs,103,154067668
2016,CIN,Cincinnati Reds,68,88940059
2016,CLE,Cleveland Indians,94,74311900
2016,COL,Colorado Rockies,75,112645071
2016,DET,Detroit Tigers,86,194876481
2016,HOU,Houston Astros,84,94893700
2016,KCA,Kansas City Royals,81,131487125
2016,LAA,Los Angeles Angels of Anaheim,74,137251333
2016,LAN,Los Angeles Dodgers,91,221288380
2016,MIA,Miami Marlins,79,77314202
2016,MIL,Milwaukee Brewers,73,68775237
2016,MIN,Minnesota Twins,59,102583200
2016,NYA,New York Yankees,84,222997792
2016,NYN,New York Mets,87,133889129
2016,OAK,Oakland Athletics,69,86806234
2016,PHI,Philadelphia Phillies,71,58980000
2016,PIT,Pittsburgh Pirates,78,103778833
2016,SDN,San Diego Padres,68,101424814
2016,SEA,Seattle Mariners,86,135683339
2016,SFN,San Francisco Giants,87,172253778
2016,SLN,St. Louis Cardinals,86,143053500
2016,TBA,Tampa Bay Rays,68,57097310
2016,TEX,Texas Rangers,95,176038723
2016,TOR,Toronto Blue Jays,89,138701700
2016,WAS,Washington Nationals,95,141652646
