yearID,teamID,name,W,payroll,Batting_WAR,Pitching_WAR,Total_WAR,Dollars_per_Win,Dollars_per_WAR,WAR_per_Million,Wins_per_100M
2002,NYN,New York Mets,75,94633593,16.119503103,13.318881989000001,29.438385093,1261781.24,3214632.6199972983,0.31107753768791174,79.25304072518941
2002,OAK,Oakland Athletics,103,40004167,24.505,25.526666667,50.031666666999996,388389.9708737864,799576.9412652015,1.2506613790258398,257.47317773170977
2002,PHI,Philadelphia Phillies,80,57954999,26.513664598,9.756894410000001,36.270559006,724437.4875,1597852.379126908,0.6258400419608324,138.03813541606652
2002,PIT,Pittsburgh Pirates,72,42323599,10.600434781999999,9.60931677,20.209751551,587827.7638888889,2094216.6900565277,0.47750550587628426,170.11785788821976
2002,SDN,San Diego Padres,66,41425000,11.63,4.9566666679999996,16.586666668,627651.5151515151,2497487.9419214237,0.4004023335666868,159.32407966203982
2002,SEA,Seattle Mariners,93,80282668,30.125,19.036666666,49.161666666,863254.4946236559,1633033.894994515,0.6123571611496519,115.84069428285567
2002,SFN,San Francisco Giants,95,78299835,35.14,18.25,53.39,824208.7894736842,1466563.6823375165,0.6818660601264358,121.32848044954373
2002,SLN,St. Louis Cardinals,97,74660875,29.72,15.276666667,44.996666667,769699.7422680412,1659253.463207206,0.602680676686417,129.92079184713546
2002,TBA,Tampa Bay Devil Rays,55,34380000,12.512236024,1.147080746,13.65931677,625090.9090909091,2516963.3722463264,0.39730415270506103,159.97673065735893
2002,TEX,Texas Rangers,72,105526122,22.16,8.539999997999999,30.699999998,1465640.5833333333,3437332.9643933116,0.2909232275019071,68.22955173127654
2002,TOR,Toronto Blue Jays,78,76864333,19.155,12.133333335000001,31.288333335,985440.1666666666,2456645.1711257314,0.4070591926557146,101.4774954204052
2003,ANA,Anaheim Angels,77,79031667,20.05,13.670000001,33.720000001,1026385.2857142857,2343762.366478536,0.4266644154298302,97.42930008043484
2003,ARI,Arizona Diamondbacks,84,80657000,7.22,26.103333334,33.323333334,960202.380952381,2420436.1307908287,0.4131486831149187,104.14471155634352
2003,ATL,Atlanta Braves,101,106243667,35.980000000000004,13.380000001,49.360000001,1051917.495049505,2152424.3719174955,0.4645923977849899,95.06448982036736
2003,BAL,Baltimore Orioles,71,73877500,16.03601227,11.833619631,27.869631901,1040528.1690140845,2650824.390592298,0.3772411343237116,96.10503874657373
2003,BOS,Boston Red Sox,95,99946500,33.74,18.666666666,52.406666666,1052068.4210526317,1907133.3163962236,0.5243471924079383,95.05085220593017
2003,CHA,Chicago White Sox,86,51010000,22.720000000000002,22.073333335,44.793333335,593139.5348837209,1138785.53351917,0.8781284715742012,168.59439325622427
2003,CHN,Chicago Cubs,88,79868333,14.365,23.549999999,37.914999999,907594.6931818182,2106510.167535448,0.4747188100069648,110.18134058213033
